# csv 용량이 커서 일부분만 올렸습니다.
# 고객 데이터 전처리 및 eda 이후 보험 상품 변수 추가한 데이터입니다.
	individual_id	curr_ann_amt	days_tenure	cust_orig_date	date_of_birth	income	has_children	length_of_residence	home_market_value	age_in_years	home_owner	college_degree	good_credit	city	county	cust_orig_year	cust_orig_month	churn	tenure_years	age_at_orig	premium_to_income	policy_proxy_v2	strategy_type_final
0	221300017872.0	818.877997	1454.0	2018-12-09	1978-06-23	22500.0	1	15.0	50000 - 74999	44	1.0	1.0	1.0	Kaufman	Kaufman	2018	2018-12	0	3.980835044490080	40.0	0.03639457764444450	Universal Life	혼합형
1	221300134410.0	974.199182	1795.0	2018-01-02	1950-05-30	27500.0	0	2.0	50000 - 74999	72	1.0	0.0	0.0	Grand Prairie	Dallas	2018	2018-01	0	4.914442162902120	67.0	0.0354254248	Universal Life	혼합형
2	221300673028.0	967.375112	4818.0	2009-09-23	1967-07-07	42500.0	0	10.0	75000 - 99999	55	1.0	0.0	0.0	Dallas	Dallas	2009	2009-09	0	13.190965092402500	42.0	0.022761767341176500	Universal Life	혼합형
3	221301573419.0	992.409561	130.0	2022-07-25	1969-05-25	125000.0	1	6.0	175000 - 199999	53	1.0	0.0	1.0	Arlington	Tarrant	2022	2022-07	1	0.35592060232717300	53.0	0.007939276488	Universal Life	안정형
4	221301622347.0	784.633494	5896.0	2006-10-11	1972-09-25	87500.0	1	4.0	225000 - 249999	50	1.0	1.0	1.0	Fort Worth	Tarrant	2006	2006-10	0	16.142368240930900	34.0	0.008967239931428570	Universal Life	혼합형
5	221302735288.0	909.916163	484.0	2021-08-05	1990-04-20	52500.0	0	2.0	125000 - 149999	33	1.0	0.0	1.0	Dallas	Dallas	2021	2021-08	0	1.325119780971940	31.0	0.017331736438095200	Universal Life	공격형
6	221300697686.0	1084.048271	2896.0	2014-12-28	1952-02-29	125000.0	1	8.0	100000 - 124999	71	1.0	0.0	1.0	Carrollton	Denton	2014	2014-12	0	7.928815879534570	62.0	0.008672386168000000	Universal Life	안정형
7	221302209400.0	1277.370767	4096.0	2011-09-15	1976-12-24	47500.0	0	12.0	125000 - 149999	46	1.0	0.0	1.0	Allen	Collin	2011	2011-09	0	11.214236824093100	34.0	0.026892016147368400	Universal Life	공격형
8	221302854567.0	917.201036	2107.0	2017-02-24	1966-07-27	47500.0	0	6.0	50000 - 74999	56	1.0	1.0	1.0	Bedford	Tarrant	2017	2017-02	1	5.768651608487340	50.0	0.019309495494736800	Universal Life	혼합형
9	221301247282.0	1095.390747	3387.0	2013-08-24	1958-08-28	32500.0	0	15.0	25000 - 49999	64	1.0	0.0	0.0	Dallas	Dallas	2013	2013-08	0	9.273100616016430	54.0	0.03370433067692310	Universal Life	혼합형
10	221301301436.0	905.038011	5336.0	2008-04-23	1956-04-29	125000.0	0	15.0	125000 - 149999	67	1.0	1.0	1.0	Arlington	Tarrant	2008	2008-04	0	14.609171800136900	51.0	0.007240304088	Universal Life	안정형
11	221302005705.0	462.911054	6020.0	2006-06-09	1981-06-22	37500.0	1	6.0	75000 - 99999	41	1.0	1.0	1.0	The Colony	Denton	2006	2006-06	0	16.48186173853530	24.0	0.012344294773333300	Universal Life	혼합형
